dg_id,dg_name_x,dg_state,SideEffect-ID,Freq-No,SideEffect,indication-ID,indication_name,Unique_Drugs_Count
DB00001,Lepirudin,solid,,,,,,
DB00002,Cetuximab,liquid,,,,,,
DB00003,Dornase alfa,liquid,,,,,,
DB00004,Denileukin diftitox,liquid,,,,,,
DB00005,Etanercept,liquid,,,,,,
DB00006,Bivalirudin,solid,C0000737,0.008,Gastrointestinal pain,C0002965,"Angina, Unstable",2.0
DB00006,Bivalirudin,solid,C0000737,0.008,Gastrointestinal pain,C0019080,Hemorrhage,3.0
DB00006,Bivalirudin,solid,C0000737,0.008,Gastrointestinal pain,C0027051,Myocardial Infarction,3.0
DB00006,Bivalirudin,solid,C0000737,0.008,Gastrointestinal pain,C0040053,Thrombosis,1.0
DB00006,Bivalirudin,solid,C0000737,0.008,Gastrointestinal pain,C0272285,Heparin-induced thrombocytopenia,1.0
DB00006,Bivalirudin,solid,C0000737,0.008,Gastrointestinal pain,C0948089,Acute Coronary Syndrome,2.0
DB00006,Bivalirudin,solid,C0000737,0.008,Gastrointestinal pain,C1536220,ST segment elevation myocardial infarction,2.0
DB00006,Bivalirudin,solid,C0000737,0.008,Gastrointestinal pain,C3160769,Major bleed,1.0
DB00006,Bivalirudin,solid,C0000737,0.01,Gastrointestinal pain,C0002965,"Angina, Unstable",2.0
DB00006,Bivalirudin,solid,C0000737,0.01,Gastrointestinal pain,C0019080,Hemorrhage,3.0
DB00006,Bivalirudin,solid,C0000737,0.01,Gastrointestinal pain,C0027051,Myocardial Infarction,3.0
DB00006,Bivalirudin,solid,C0000737,0.01,Gastrointestinal pain,C0040053,Thrombosis,1.0
DB00006,Bivalirudin,solid,C0000737,0.01,Gastrointestinal pain,C0272285,Heparin-induced thrombocytopenia,1.0
DB00006,Bivalirudin,solid,C0000737,0.01,Gastrointestinal pain,C0948089,Acute Coronary Syndrome,2.0
DB00006,Bivalirudin,solid,C0000737,0.01,Gastrointestinal pain,C1536220,ST segment elevation myocardial infarction,2.0
DB00006,Bivalirudin,solid,C0000737,0.01,Gastrointestinal pain,C3160769,Major bleed,1.0
DB00006,Bivalirudin,solid,C0000737,0.0476631,Gastrointestinal pain,C0002965,"Angina, Unstable",2.0
DB00006,Bivalirudin,solid,C0000737,0.0476631,Gastrointestinal pain,C0019080,Hemorrhage,3.0
DB00006,Bivalirudin,solid,C0000737,0.0476631,Gastrointestinal pain,C0027051,Myocardial Infarction,3.0
DB00006,Bivalirudin,solid,C0000737,0.0476631,Gastrointestinal pain,C0040053,Thrombosis,1.0
DB00006,Bivalirudin,solid,C0000737,0.0476631,Gastrointestinal pain,C0272285,Heparin-induced thrombocytopenia,1.0
DB00006,Bivalirudin,solid,C0000737,0.0476631,Gastrointestinal pain,C0948089,Acute Coronary Syndrome,2.0
DB00006,Bivalirudin,solid,C0000737,0.0476631,Gastrointestinal pain,C1536220,ST segment elevation myocardial infarction,2.0
DB00006,Bivalirudin,solid,C0000737,0.0476631,Gastrointestinal pain,C3160769,Major bleed,1.0
DB00006,Bivalirudin,solid,C0000737,0.0483496,Gastrointestinal pain,C0002965,"Angina, Unstable",2.0
DB00006,Bivalirudin,solid,C0000737,0.0483496,Gastrointestinal pain,C0019080,Hemorrhage,3.0
DB00006,Bivalirudin,solid,C0000737,0.0483496,Gastrointestinal pain,C0027051,Myocardial Infarction,3.0
DB00006,Bivalirudin,solid,C0000737,0.0483496,Gastrointestinal pain,C0040053,Thrombosis,1.0
DB00006,Bivalirudin,solid,C0000737,0.0483496,Gastrointestinal pain,C0272285,Heparin-induced thrombocytopenia,1.0
DB00006,Bivalirudin,solid,C0000737,0.0483496,Gastrointestinal pain,C0948089,Acute Coronary Syndrome,2.0
DB00006,Bivalirudin,solid,C0000737,0.0483496,Gastrointestinal pain,C1536220,ST segment elevation myocardial infarction,2.0
DB00006,Bivalirudin,solid,C0000737,0.0483496,Gastrointestinal pain,C3160769,Major bleed,1.0
DB00006,Bivalirudin,solid,C0000737,0.008,Abdominal pain,C0002965,"Angina, Unstable",2.0
DB00006,Bivalirudin,solid,C0000737,0.008,Abdominal pain,C0019080,Hemorrhage,3.0
DB00006,Bivalirudin,solid,C0000737,0.008,Abdominal pain,C0027051,Myocardial Infarction,3.0
DB00006,Bivalirudin,solid,C0000737,0.008,Abdominal pain,C0040053,Thrombosis,1.0
DB00006,Bivalirudin,solid,C0000737,0.008,Abdominal pain,C0272285,Heparin-induced thrombocytopenia,1.0
DB00006,Bivalirudin,solid,C0000737,0.008,Abdominal pain,C0948089,Acute Coronary Syndrome,2.0
DB00006,Bivalirudin,solid,C0000737,0.008,Abdominal pain,C1536220,ST segment elevation myocardial infarction,2.0
DB00006,Bivalirudin,solid,C0000737,0.008,Abdominal pain,C3160769,Major bleed,1.0
DB00006,Bivalirudin,solid,C0000737,0.01,Abdominal pain,C0002965,"Angina, Unstable",2.0
DB00006,Bivalirudin,solid,C0000737,0.01,Abdominal pain,C0019080,Hemorrhage,3.0
DB00006,Bivalirudin,solid,C0000737,0.01,Abdominal pain,C0027051,Myocardial Infarction,3.0
DB00006,Bivalirudin,solid,C0000737,0.01,Abdominal pain,C0040053,Thrombosis,1.0
DB00006,Bivalirudin,solid,C0000737,0.01,Abdominal pain,C0272285,Heparin-induced thrombocytopenia,1.0
DB00006,Bivalirudin,solid,C0000737,0.01,Abdominal pain,C0948089,Acute Coronary Syndrome,2.0
DB00006,Bivalirudin,solid,C0000737,0.01,Abdominal pain,C1536220,ST segment elevation myocardial infarction,2.0
DB00006,Bivalirudin,solid,C0000737,0.01,Abdominal pain,C3160769,Major bleed,1.0
DB00006,Bivalirudin,solid,C0000737,0.0476631,Abdominal pain,C0002965,"Angina, Unstable",2.0
DB00006,Bivalirudin,solid,C0000737,0.0476631,Abdominal pain,C0019080,Hemorrhage,3.0
DB00006,Bivalirudin,solid,C0000737,0.0476631,Abdominal pain,C0027051,Myocardial Infarction,3.0
DB00006,Bivalirudin,solid,C0000737,0.0476631,Abdominal pain,C0040053,Thrombosis,1.0
DB00006,Bivalirudin,solid,C0000737,0.0476631,Abdominal pain,C0272285,Heparin-induced thrombocytopenia,1.0
DB00006,Bivalirudin,solid,C0000737,0.0476631,Abdominal pain,C0948089,Acute Coronary Syndrome,2.0
DB00006,Bivalirudin,solid,C0000737,0.0476631,Abdominal pain,C1536220,ST segment elevation myocardial infarction,2.0
DB00006,Bivalirudin,solid,C0000737,0.0476631,Abdominal pain,C3160769,Major bleed,1.0
DB00006,Bivalirudin,solid,C0000737,0.0483496,Abdominal pain,C0002965,"Angina, Unstable",2.0
DB00006,Bivalirudin,solid,C0000737,0.0483496,Abdominal pain,C0019080,Hemorrhage,3.0
DB00006,Bivalirudin,solid,C0000737,0.0483496,Abdominal pain,C0027051,Myocardial Infarction,3.0
DB00006,Bivalirudin,solid,C0000737,0.0483496,Abdominal pain,C0040053,Thrombosis,1.0
DB00006,Bivalirudin,solid,C0000737,0.0483496,Abdominal pain,C0272285,Heparin-induced thrombocytopenia,1.0
DB00006,Bivalirudin,solid,C0000737,0.0483496,Abdominal pain,C0948089,Acute Coronary Syndrome,2.0
DB00006,Bivalirudin,solid,C0000737,0.0483496,Abdominal pain,C1536220,ST segment elevation myocardial infarction,2.0
DB00006,Bivalirudin,solid,C0000737,0.0483496,Abdominal pain,C3160769,Major bleed,1.0
DB00006,Bivalirudin,solid,C0002792,0.001,Anaphylactic shock,C0002965,"Angina, Unstable",2.0
DB00006,Bivalirudin,solid,C0002792,0.001,Anaphylactic shock,C0019080,Hemorrhage,3.0
DB00006,Bivalirudin,solid,C0002792,0.001,Anaphylactic shock,C0027051,Myocardial Infarction,3.0
DB00006,Bivalirudin,solid,C0002792,0.001,Anaphylactic shock,C0040053,Thrombosis,1.0
DB00006,Bivalirudin,solid,C0002792,0.001,Anaphylactic shock,C0272285,Heparin-induced thrombocytopenia,1.0
DB00006,Bivalirudin,solid,C0002792,0.001,Anaphylactic shock,C0948089,Acute Coronary Syndrome,2.0
DB00006,Bivalirudin,solid,C0002792,0.001,Anaphylactic shock,C1536220,ST segment elevation myocardial infarction,2.0
DB00006,Bivalirudin,solid,C0002792,0.001,Anaphylactic shock,C3160769,Major bleed,1.0
DB00006,Bivalirudin,solid,C0002871,0.001,Anaemia,C0002965,"Angina, Unstable",2.0
DB00006,Bivalirudin,solid,C0002871,0.001,Anaemia,C0019080,Hemorrhage,3.0
DB00006,Bivalirudin,solid,C0002871,0.001,Anaemia,C0027051,Myocardial Infarction,3.0
DB00006,Bivalirudin,solid,C0002871,0.001,Anaemia,C0040053,Thrombosis,1.0
DB00006,Bivalirudin,solid,C0002871,0.001,Anaemia,C0272285,Heparin-induced thrombocytopenia,1.0
DB00006,Bivalirudin,solid,C0002871,0.001,Anaemia,C0948089,Acute Coronary Syndrome,2.0
DB00006,Bivalirudin,solid,C0002871,0.001,Anaemia,C1536220,ST segment elevation myocardial infarction,2.0
DB00006,Bivalirudin,solid,C0002871,0.001,Anaemia,C3160769,Major bleed,1.0
DB00006,Bivalirudin,solid,C0002962,0.002,Angina pectoris,C0002965,"Angina, Unstable",2.0
DB00006,Bivalirudin,solid,C0002962,0.002,Angina pectoris,C0019080,Hemorrhage,3.0
DB00006,Bivalirudin,solid,C0002962,0.002,Angina pectoris,C0027051,Myocardial Infarction,3.0
DB00006,Bivalirudin,solid,C0002962,0.002,Angina pectoris,C0040053,Thrombosis,1.0
DB00006,Bivalirudin,solid,C0002962,0.002,Angina pectoris,C0272285,Heparin-induced thrombocytopenia,1.0
DB00006,Bivalirudin,solid,C0002962,0.002,Angina pectoris,C0948089,Acute Coronary Syndrome,2.0
DB00006,Bivalirudin,solid,C0002962,0.002,Angina pectoris,C1536220,ST segment elevation myocardial infarction,2.0
DB00006,Bivalirudin,solid,C0002962,0.002,Angina pectoris,C3160769,Major bleed,1.0
DB00006,Bivalirudin,solid,C0002962,0.004,Angina pectoris,C0002965,"Angina, Unstable",2.0
DB00006,Bivalirudin,solid,C0002962,0.004,Angina pectoris,C0019080,Hemorrhage,3.0
DB00006,Bivalirudin,solid,C0002962,0.004,Angina pectoris,C0027051,Myocardial Infarction,3.0
DB00006,Bivalirudin,solid,C0002962,0.004,Angina pectoris,C0040053,Thrombosis,1.0
DB00006,Bivalirudin,solid,C0002962,0.004,Angina pectoris,C0272285,Heparin-induced thrombocytopenia,1.0
DB00006,Bivalirudin,solid,C0002962,0.004,Angina pectoris,C0948089,Acute Coronary Syndrome,2.0
DB00006,Bivalirudin,solid,C0002962,0.004,Angina pectoris,C1536220,ST segment elevation myocardial infarction,2.0
DB00006,Bivalirudin,solid,C0002962,0.004,Angina pectoris,C3160769,Major bleed,1.0
DB00006,Bivalirudin,solid,C0002962,0.052,Angina pectoris,C0002965,"Angina, Unstable",2.0
DB00006,Bivalirudin,solid,C0002962,0.052,Angina pectoris,C0019080,Hemorrhage,3.0
DB00006,Bivalirudin,solid,C0002962,0.052,Angina pectoris,C0027051,Myocardial Infarction,3.0
DB00006,Bivalirudin,solid,C0002962,0.052,Angina pectoris,C0040053,Thrombosis,1.0
DB00006,Bivalirudin,solid,C0002962,0.052,Angina pectoris,C0272285,Heparin-induced thrombocytopenia,1.0
DB00006,Bivalirudin,solid,C0002962,0.052,Angina pectoris,C0948089,Acute Coronary Syndrome,2.0
DB00006,Bivalirudin,solid,C0002962,0.052,Angina pectoris,C1536220,ST segment elevation myocardial infarction,2.0
DB00006,Bivalirudin,solid,C0002962,0.052,Angina pectoris,C3160769,Major bleed,1.0
DB00006,Bivalirudin,solid,C0002962,0.053,Angina pectoris,C0002965,"Angina, Unstable",2.0
DB00006,Bivalirudin,solid,C0002962,0.053,Angina pectoris,C0019080,Hemorrhage,3.0
